Column,id,legalName,category,RoadNameAddress,telephone,SignatureFoods,AdministrativeNeighborhood
0,1,매주육일,음식점업,"전라북도 군산시 궁포3로 13, 1층 118호 (조촌동)",063-442-0062,이베리코 돼지고기,조촌동
1,2,명륜진사갈비조촌점,음식점업,전라북도 군산시 진포로 211 (경암동),063-445-8500,숯불돼지갈비,경암동
2,3,보배밥상,음식점업,전라북도 군산시 남수송4길 8-6 (수송동),063-461-6692,"더덕제육쌈밥, 생선구이",수송동
3,4,가시리,음식점업,전라북도 군산시 미원3길 13 (중앙로3가),063-446-4613,"생선탕, 생선찜, 생선회",흥남동
4,5,갈비스토리,음식점업,"전라북도 군산시 하나운1길 15 (1,2)층 (나운동)",063-442-2832,돼지갈비,나운 1동
5,6,어시장활어회직거래판매장,음식점업,"전라북도 군산시 신평길 20, 1동 1, 2층 (수송동)",063-471-8844,"생선회, 생선탕, 킹크랩찜",수송동
6,7,라라코스트수송점,음식점업,"전라북도 군산시 월명로 254 (수송동, 202,203호)",063-466-3230,"스테이크, 필라프",수송동
7,8,남원용담골추어탕,음식점업,"전라북도 군산시 수송로 315, 101호,102호 (미장동)",063-467-7952,"추어탕, 코다리",수송동
8,9,아리랑,음식점업,"전라북도 군산시 해망로 224, 1동 (장미동)",063-442-1207,"흰찰쌀보리비빔밥, 황금박대정식",월명동
9,10,수원성,음식점업,"전라북도 군산시 월명로 281, 2층 (수송동)",063-453-0002,"갈비, 갈비탕",수송동
10,11,화심순두부군산점,음식점업,"전라북도 군산시 미장서로 40, 2층 (수송동)",063-910-0051,순두부,수송동
11,12,금송,음식점업,전라북도 군산시 남수송6길 7 (수송동),063-464-6038,"생선회,생선탕,물회",수송동
12,13,함흥관,음식점업,전라북도 군산시 해망로 550 (소룡동),063-466-0038,"냉면, 돼지갈비",소룡동
13,14,명륜진사갈비군산본점,음식점업,"전라북도 군산시 문화로 95, 1층 (수송동)",063-466-3621,갈비,수송동
14,15,전주우족설렁탕,음식점업,전라북도 군산시 대학로 88 (금광동),063-445-9502,"우족탕, 설렁탕",삼학동
15,16,압강옥,음식점업,전라북도 군산시 삼수길 46 (사정동),063-452-2777,"쇠고기전골,냉면,갈비구이",개정동
16,17,남산식당,음식점업,전라북도 군산시 흥남2길 60 (동흥남동),063-442-4442,"꽃등심,안창살,육회, 삼겹살",흥남동
17,18,신선가든,음식점업,전라북도 군산시 회현면 대위안길 45,063-466-6162,닭요리,회현면
18,19,고래면옥,음식점업,전라북도 군산시 나운5길 8 (나운동),063-468-1616,"냉면,버섯전골,삼겹살,갈비,한우",나운 2동
19,20,계곡가든,음식점업,"전라북도 군산시 개정면 금강로 470, 계곡가든 1동",063-453-0608,"꽃게장백반,꽃게찜, 꽃게탕, 야채찜",개정동
20,21,사골뚝배기,음식점업,전라북도 군산시 거석길 29 (신창동),063-445-1107,한우곰탕,월명동
21,22,고래설렁탕,음식점업,전라북도 군산시 공단대로 408 (나운동),063-468-0606,"설렁탕, 도가니찜, 꼬리찜",나운 2동
22,23,지미원,음식점업,전라북도 군산시 부곡1길 6 (나운동),063-463-3900,궁중한정식,나포면
23,24,바다회집현대코아점,음식점업,전라북도 군산시 문화안길 11 (나운동),063-466-1197,"회정식, 해물탕",신풍동
24,25,삼미정,음식점업,전라북도 군산시 칠성5길 159 (소룡동),063-465-0775,"생선탕,생선찜",소룡동
25,26,쌍용반점,음식점업,전라북도 군산시 내항2길 121 (금동),063-443-1259,해물짬뽕,해신동
26,27,군산한우촌,음식점업,전라북도 군산시 대학로 649 (신관동),063-465-6969,한우전문,나운 3동
27,28,궁전갈치찜,음식점업,전라북도 군산시 구영6길 71 (신창동),063-445-7770,갈치찜,중앙동
28,29,신고궁한정식,음식점업,전라북도 군산시 조촌1길 10 (경장동),063-451-0111,한정식,조촌동
29,30,한소끔,음식점업,"전라북도 군산시 백토로 284-8 (나운동, (1층, 2층))",063-462-8181,해물요리,나운 3동
30,31,미향,음식점업,전라북도 군산시 소룡길 52 (소룡동),063-465-1910,"생선회, 생선찜, 생선탕",소룡동
31,32,금강해물칼국수,음식점업,"전라북도 군산시 성산면 철새로 31, 201호",063-453-8858,"칼국수,돈가스",성산면
32,33,모산방,음식점업,"전라북도 군산시 부원로 97-9, 1,2동 (산북동)",063-463-4411,퓨전한정식,미성동
33,34,신가네칼국수,음식점업,"전라북도 군산시 성산면 철새로 31, 101호",063-453-6333,"칼국수, 만두",성산면
34,35,새만금횟집,음식점업,"전라북도 군산시 비응안7길 13, 1.2층 (비응도동)",063-464-1001,"생선회,생선찜,생선탕",소룡동
35,36,웰미가수송점,음식점업,"전라북도 군산시 수송1길 17, 1층 (수송동)",063-462-0095,콩나물국밥,수송동
36,37,해송,음식점업,전라북도 군산시 서수송1길 12-5 (나운동),063-466-0947,"생선회,생선찜,생선탕",수송동
37,38,취향,음식점업,"전라북도 군산시 새만금북로 247, 1동 (오식도동)",063-468-1592,한우고기,소룡동
38,39,조선화로집 군산수송점,음식점업,"전라북도 군산시 월명로 255, 201호 (수송동)",063-467-6067,꽃갈비살,수송동
39,40,등대로,음식점업,전라북도 군산시 비응로 71 (비응도동),063-446-9500,"해물샤브샤브,생선탕,퓨전일식",소룡동
40,41,제주도횟집,음식점업,전라북도 군산시 동메1길 9-2 (수송동),063-467-9548,"생선회,생선탕",수송동
41,42,온새미로,음식점업,전라북도 군산시 신설2길 5-6 (나운동),063-463-6334,한정식,나운 1동
42,43,장국명가,음식점업,전라북도 군산시 새터길 25 (구암동),063-443-3680,묵은지보쌈,구암동
43,44,장가네,음식점업,전라북도 군산시 비응동로 67 (비응도동),063-466-2995,"바지락죽,조개모듬칼국수",소룡동
44,45,다빈회관,음식점업,전라북도 군산시 수송안길 25 (수송동),063-466-7778,부대찌개전문,수송동
45,46,풍천장어타운,음식점업,전라북도 군산시 번영로 370 (사정동),063-452-4422,풍천장어구이,개정동
46,47,가든바베큐,음식점업,전라북도 군산시 옥산면 대위로 128,063-464-5282,바베큐,옥산면
47,48,명인,음식점업,전라북도 군산시 임피면 서원석곡로 602,063-452-2459,"냉면, 갈비",임피면
48,49,콩뜰,음식점업,"전라북도 군산시 구영7길 21-9, 1층 (월명동)",063-445-2218,두부보쌈,중앙동
49,50,에이뷔페(A뷔페),음식점업,전라북도 군산시 공단대로 179 (수송동),063-464-5566,뷔페,수송동
50,51,스위트인디아,음식점업,전라북도 군산시 우체통거리1길 14 (신창동),063-445-8522,인도음식,월명동
51,52,마루벌돌구이군산점,음식점업,전라북도 군산시 축동안길 56 (수송동),063-443-9233,"한우꽃등심,통삼겹살",수송동
52,53,군산떡갈비,음식점업,전라북도 군산시 미장6길 16 (미장동),063-467-8877,떡갈비,수송동
53,54,현대옥(미장점),음식점업,"전라북도 군산시 미장안7길 34, 1층 101호 (미장동)",063-452-9885,콩나물국밥,수송동
54,55,궁전꽃게장본점,음식점업,"전라북도 군산시 궁포1로 24-5, 2층 203,204호 (조촌동)",063-466-6677,궁전꽃게장정식,조촌동
55,56,풍천장어타운 경암점,음식점업,"전라북도 군산시 진포로 199, 2층 (경암동)",063-452-4422,장어구이,경암동
56,57,샤브쌈주머니군산점,음식점업,"전라북도 군산시 수송로 315, 2층 202,203호 (미장동)",063-463-7016,소고시샤브,수송동
