Column,legalName,recipeCuisine,RoadNameAddress,telephone,recipeCategory
1,경원아나고,생선요리,군산시 싸전길 22 (죽성동),634457775,아나고탕
2,계곡가든,한식,군산시 개정면 금강로 470,634530608,꽃게장백반
3,군산복집,생선요리,군산시 구영7길 15 (월명동),634460118,생선탕 (찜)
4,군산한우촌,식육취급,군산시 대학로 649 (신관동),634656969,육회비빔밤
5,남원용담골추어탕,한식,군산시 수송로 315(미장동),634677952,추어탕
6,남촌칼국수,면류,군산시 철새로 31 (성산면),634453433,해물칼국수
7,노방촌,식육취급,군산시 회현면 자골윗길 62,634665284,오리숯불구이
8,대정소바,면류,군산시 구영7길 36 (월명동),634454808,소바
9,두메골,한식,군산시 백토로 284-20 (나운동),634610611,보리비빔밥
10,등대로,생선요리,군산시 비응로 71 (비응도동),634469500,생조개버섯샤브샤브
11,명동소바,면류,군산시 평화길 122 (장미동),634461366,메밀소바
12,바다회집현대코아점,생선요리,군산시 문화안길 11 (나운동),634661197,회정식
13,복성루,중식,군산시 월명로 382 (미원동),634458412,해물짬뽕
14,사골뚝배기,한식,군산시 거석길 29 (신창동),634451107,한우곰탕
15,삼거리매운탕,한식,군산시 현충로 8 (나운동),634635811,민물매운탕
16,새만금횟집,생선요리,군산시 비응안7길 13 (비응도동),634641001,박대탕
17,서진해물곱돌솥밥,한식,군산시 구영6길 72 (신창동),634422282,해물곱돌솥밥
18,수원성,식육취급,"군산시 월명로 281,2층 (수송동)",634530002,"돼지갈비, 갈비탕"
19,스위트인디아,인도음식,군산시 거석길 36 (신창동),634458522,"인도커리, 탄두라음식"
20,신돈쪽갈비,식육취급,군산시 경암로 48 (경암동),634429903,갈비
21,쌍용반점,중식,군산시 내항2길 121 (금동),634431259,해물짬뽕
22,압강옥,식육취급,군산시 삼수길 46 (사정동),634522777,쇠고기쟁반
23,옹고집쌈밥,한식,군산시 나포면 서왕길 34,634538883,쌈밥
24,완주옥,식육취급,군산시 큰샘길 42 (죽성동),634452644,떡갈비
25,유성가든,한식,군산시 성산면 철새로 6-1,634536670,꽃게장백반
26,유정초밥,생선요리,군산시 대학로 6-4 (영화동),634459844,초밥
27,일품아구,생선요리,군산시 남수송6길3-8 (수송동),634669001,아구탕
28,일풍식당,생선요리,군산시 서흥1길 9 (문화동),634426098,물메기매운탕
29,일해옥,한식,군산시 구영7길 19 (월명동),634430999,콩나물국밥
30,장국명가,한식,군산시 새터길 25 (구암동),634433680,장국소면정식
31,전주우족설렁탕,한식,군산시 대학로 88 (금광동),634459502,우족탕
32,진갈비,식육취급,군산시 구영1길 108-7 (영화동),634467707,"떡갈비,곰탕"
33,콩뜰,한식,"군산시 구영7길 21-9,1층 (월명동)",634452218,두부전골
34,희락,생선요리,군산시 구영7길 73 (중앙로1가),634454456,생선탕
35,우민회관,식육취급,군산시 번영로 158-20(경장동),634520427,한우및 청국장
36,뜨락,식육취급,군산시 개정면 아동남로 45-1(개정면),634520002,닭누룽지백숙
37,은파아리울,양식,"군산시 은파순환길 174-4,2층(미룡동)",634649393,"파스타,피자"
