연번,업종,업소명,주소(도로명)
1,중식,아서원,전라북도 군산시 경암5길 63 (경암동)
2,이미용업,어여미,전라북도 군산시 축동안길 51 (수송동)
3,이미용업,형제이용원,전라북도 군산시 동메2길 32-1 (수송동)
4,한식,국일식당,전라북도 군산시 평화길 99-4 (죽성동)
5,목욕업,장수대중탕,전라북도 군산시 문화1길 36 (문화동)
6,한식,일출옥,전라북도 군산시 구영7길 20 (월명동)
7,목욕업,두꺼비대중탕,전라북도 군산시 동팔마길 31 (장재동)
8,한식,선현대솥뚜껑갈비,전라북도 군산시 서수송길 17 (나운동)
9,한식,제주도횟집,전라북도 군산시 동메1길 9-2 (수송동)
10,한식,토속해장국,전라북도 군산시 신촌2길 8-2 (조촌동)
11,한식,명산칼국수,전라북도 군산시 오룡로 57-2 (명산동)
12,한식,대명옥,전라북도 군산시 번영로 17 (경장동)
13,한식,은혜식당,전라북도 군산시 구시장로 24 (대명동)
14,중식,가야장,전라북도 군산시 경암4길 4 (경암동)
15,한식,미주옥,전라북도 군산시 구영7길 133-4 (영화동)
16,한식,나라식당,전라북도 군산시 서흥안2길 30 (문화동)
17,한식,꼬꼬꽥꽥,전라북도 군산시 경암2길 24 (경암동)
18,한식,우리지빱,전라북도 군산시 구영6길 126 (영화동)
19,한식,시골마당,전라북도 군산시 부골2길 49 (조촌동)
20,이미용업,머리박사,"전라북도 군산시 문화로36, 203호 (나운동)"
21,한식,일신옥,전라북도 군산시 구영7길 20 (월명동)
22,한식,이포크정육식당,"전라북도 군산시 미원로 61, 102호 (삼학동)"
23,한식,이가매생이수제비칼국수,전라북도 군산시 조촌안3길 19 (조촌동)
24,한식,유쾌한돈 미장점,전라북도 군산시 미장안7길 6 (미장동)
25,카페,카페에스더,전라북도 군산시 진포로 73 (미장동)
26,분식,치바라멘,전라북도 군산시 동수송9길 12 (수송동)
