id,legalName,RoadNameAddress,telephone,recipeCategory,category
1,경원아나고,전북 군산시 싸전길 22,063-445-7775,아나고탕,한식
2,계곡가든,전북 군산시 개정면 금강로 470,063-453-0608,꽃게장백반,한식
3,군산복집,전북 군산시 구영7길 15,063-446-0118,생선탕 (찜),한식
4,군산한우촌,전북 군산시 대학로 649,063-465-6969,육회비빔밤,한식
5,남원용담골추어탕,전북 군산시 수송로 315,063-467-7952,추어탕,한식
6,남촌칼국수,전북 군산시 성산면 철새로 31,063-445-3433,해물칼국수,한식
7,노방촌,전북 군산시 회현면 자골윗길 62,063-466-5284,오리숯불구이,한식
8,대정소바,전북 군산시 구영7길 36,063-445-4808,소바,한식
9,두메골,전북 군산시 백토로 284-20,063-461-0611,보리비빔밥,한식
10,등대로,전북 군산시 비응로 71,063-446-9500,생조개버섯샤브샤브,한식
11,명동소바,전북 군산시 평화길 122,063-446-1366,메밀소바,한식
12,바다회집현대코아점,전북 군산시 문화안길 11,063-466-1197,회정식,한식
13,복성루,전북 군산시 월명로 382,063-445-8412,해물짬뽕,중식
14,사골뚝배기,전북 군산시 거석길 29,063-445-1107,한우곰탕,한식
15,삼거리매운탕,전북 군산시 현충로 8,063-463-5811,민물매운탕,한식
16,새만금횟집,전북 군산시 비응안7길 13,063-464-1001,박대탕,한식
17,서진해물곱돌솥밥,전북 군산시 구영6길 72,063-442-2282,해물곱돌솥밥,한식
18,수원성,전북 군산시 월명로 281,063-453-0002,"돼지갈비, 갈비탕",한식
19,스위트인디아,전북 군산시 거석길 36,063-445-8522,"인도커리, 탄두라음식",아시아음식
20,신돈쪽갈비,전북 군산시 경암로 48,063-442-9903,갈비,한식
21,쌍용반점,전북 군산시 내항2길 121,063-443-1259,해물짬뽕,중식
22,압강옥,전북 군산시 삼수길 46,063-452-2777,쇠고기쟁반,한식
23,옹고집쌈밥,전북 군산시 나포면 서왕길 34,063-453-8883,쌈밥,한식
24,완주옥,전북 군산시 큰샘길 42,063-445-2644,떡갈비,한식
25,유성가든,전북 군산시 성산면 철새로 6-1,063-453-6670,꽃게장백반,한식
26,유정초밥,전북 군산시 대학로 6-4,063-445-9844,초밥,일식
27,일품아구,전북 군산시 남수송6길 3-8,063-466-9001,아구탕,한식
28,일풍식당,전북 군산시 서흥1길 9,063-442-6098,물메기매운탕,한식
29,일해옥,전북 군산시 구영7길 19,063-443-0999,콩나물국밥,한식
30,장국명가,전북 군산시 새터길 25,063-443-3680,장국소면정식,한식
31,전주우족설렁탕,전북 군산시 대학로 88,063-445-9502,우족탕,한식
32,진갈비,전북 군산시 구영1길 108-7,063-446-7707,"떡갈비,곰탕",한식
33,콩뜰,전북 군산시 구영7길 21-9,063-445-2218,두부전골,한식
34,희락,전북 군산시 구영7길 73,063-445-4456,생선탕,일식
35,우민회관,전북 군산시 번영로 158-20,063-452-0427,한우및 청국장,한식
36,뜨락,전북 군산시 개정면 아동남로 45-1,063-452-0002,닭누룽지백숙,한식
37,은파아리울,전북 군산시 은파순환길 174-4,063-464-9393,"파스타,피자",양식
